collection,product_id,title,sales_gbp_30d,demand_searches_mo,organic_sessions_30d,profit_margin,matched_condition,seo_priority
pendant-lights,8107412750586,8-Way Spider Light Cone Shade Pendant Light~5136,71.89,90,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,6594006810785,Industrial Black and Brass Pendant Light~1602,71.56,20,8,N/A (COGS pending),1,Low — flag for review
pendant-lights,6655620055201,Modern Retro 3 Way Cluster Pendant Light Amber Glass Triple Fitting ~1559,69.78,170,2,N/A (COGS pending),6,Low
pendant-lights,4609306296416,Modern Industrial Pendant Light Lamp Shade with FREE Bulbs Ceiling Light Lampshade LED Vintage~2251,68.01,390,0,N/A (COGS pending),6,Low
pendant-lights,6604161482913,Black & Orange Industrial Teardrop Pendant Ceiling Light ~1592,61.08,0,3,N/A (COGS pending),1,Low — flag for review
pendant-lights,6999643979937,Black 2m Pendant Light Cage Retro Industrial Ceiling Light Spider Lamp~1187,59.99,2900,2,N/A (COGS pending),3,High
pendant-lights,15312314302850,Industrial Black Pendant Light  Adjustable E27 Bulb ~6764,59.96,20,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,8155912274170,Dome Shade Adjustable Pendant Light ~5259,59.67,260,0,N/A (COGS pending),6,Low
pendant-lights,6887867482273,Vintage Industrial Metal Ceiling Pendant Light with Dome Lampshade  ~1292,59.37,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,8100566532346,8 Way Spider Light E27 Pendant Light Adjustable Cable With Swag Hook ~ 5107,58.49,30,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,5482771546273,E27 Ceiling Rose Light Fitting Vintage Industrial Pendant Lamp Bulb Holder~2074,58.05,70,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,15189299560834,Adjustable Metal Barn Semi Flush Ceiling Light ~6460,57.64,210,0,N/A (COGS pending),6,Low
pendant-lights,15074121777538,E27 Metal Chain Hanging Light ~6256,53.5,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15046490751362,Adjustable Hanging Light E27 ~6173,50.31,170,0,N/A (COGS pending),6,Low
pendant-lights,7673412124922,Matt Black Chain Pendant Light~3806,50.2,2900,1,N/A (COGS pending),3,High
pendant-lights,6845727080609,Industrial Balloon Wire Cage Pendant Light E27 ~1376,49.05,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15179732550018,3 Set Single Pendant Ceiling Light ~6691,48.79,10,7,N/A (COGS pending),1,Low — flag for review
pendant-lights,4468584087648,Industrial Hemp Metal Ceiling Lamp Edison E27 Loft Retro Style~2713,47.98,0,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,6008904548513,Vintage 1m/5m/10m Gold 2 Core Twisted Fabric Lighting Cable~1768,47.88,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,7649650409722,Vintage Industrial 3-Way Triple Pendant Light Bar E27 Adjustable~3734,46.49,50,10,N/A (COGS pending),1,Low — flag for review
pendant-lights,14989499138434,Modern Adjustable 3-Light Crystal Shade Pendant Chandelier~6125,45.89,2900,4,N/A (COGS pending),3,High
pendant-lights,6894872166561,Industrial 1m Flex Pendant Light E27 Vintage Ceiling Fitting~1282,45.81,390,3,N/A (COGS pending),6,Low
pendant-lights,5509926977697,Vintage E27 Ceiling Pendant Light Lampshade Industrial Pendant Lamp Bulb Holder~2062,45.6,10,4,N/A (COGS pending),1,Low — flag for review
pendant-lights,14928536764802,Industrial Wheel Pendant 3 Light Hanging Light ~5844,45.29,390,5,N/A (COGS pending),6,Low
pendant-lights,15309025640834,E27 Plug In Bohemian Pendant Light 4M Rope Swag Lamp  ~6758,45.19,20,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,7982901559546,"2 Pack Black Pendant, Lampshade E27 Lamp Holder Hanging Light,PVC Cable~4235",44.67,260,0,N/A (COGS pending),6,Low
pendant-lights,6982559301793,Vintage Retro Industrial Ceiling Pendant Living Room Kitchen Indoor Hanging Lamp Bird Cage Lighting~1202,44.67,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,6008905466017,Grey 2 Core 1m/2m/5m/10m Decorative Twisted Fabric Lighting Cable~1765,43.36,1300,0,N/A (COGS pending),6,Low
pendant-lights,6916366729377,Industrial 3-Way Dome Pendant Light Retro Metal | Round or Rectangular Base~1248,42.98,390,2,N/A (COGS pending),6,Low
pendant-lights,6921426632865,3 Light Pendant - Black Industrial Hanging Lamp ~1242,41.89,33100,10,N/A (COGS pending),3,High
pendant-lights,4489972056160,Retro Meta Design Bicycle Ceiling Hanging Pendant Light Shade Modern cycle Lampshade~2668,41.78,170,4,N/A (COGS pending),6,Low
pendant-lights,15299983180162,Hanging Pendant Light Easy To Install With Plenty Of Chain  ~6731,41.42,320,0,N/A (COGS pending),6,Low
pendant-lights,8102837321978,Metal Single bulb guard cage  pendant lights~ 5123,41.26,0,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,15048390214018,Ceiling Pendant Light Fitting Long Drop | Spider Pendant Light Industrial Kit | 2m Cable ~6179,40.17,1600,3,N/A (COGS pending),6,Low
pendant-lights,15272480702850,4m Plug-in Pendant Swag Lamp with  On Off Switch ~6637,39.99,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,7704065671418,Industrial Vintage Retro 3-Way Round Pendant Light | E27 Cage ~3989,39.99,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,6912222789793,3 Cluster Pendant Light in Black Square Shape ~1256,39.67,1000,0,N/A (COGS pending),6,Low
pendant-lights,15287119020418,Modern Clear Glass Pendant Light with Black Metal Ceiling Rose ~6699,38.52,1300,4,N/A (COGS pending),6,Low
pendant-lights,7640297799930,32cm Green Pendant Lamp Metal E27 ~3688,37.78,90,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,7640296653050,Industrial Pendant Lighting with 32cm Orange Lampshade Over the kitchen island ~3685,37.78,110,1,N/A (COGS pending),6,Low
pendant-lights,4590874787936,Vintage Industrial Glass Lampshade Edison Hemp Rope Metal Hanging Pendant Lightshade~2268,37.61,10,7,N/A (COGS pending),1,Low — flag for review
pendant-lights,7649553219834,Modern Barn Shape E27 Red Ceiling Pendant Light Shade~3742,36.88,0,11,N/A (COGS pending),1,Low — flag for review
pendant-lights,15053341393282,Kitchen Island 3 Light Pendant Light With Fluming Switch ~6187,36.29,30,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,15293721805186,Vintage Industrial Tea Brown Glass Pendant Light with LED Bulb ~6717,34.98,70,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,14930682184066,Modern Barn Shade Pendant Light Ceiling Light Fixture ~5882,34.35,90,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14883152527746,Vintage E27 Metal 2 head Ceiling Pendant Light Fitting~5663,34.18,0,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,7701883846906,Retro 3 way Round Ceiling Cage Pendant Light E27 Holder~3968,33.49,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,5911744282785,Modern Large Ceiling Black Metal Dome Pendant Light ~1845,33.42,110,5,N/A (COGS pending),6,Low
pendant-lights,5794936324257,Eco-Friendly Hemp Rope Pendant Light 20cm Glass Globe ~1948,33.19,20,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,4417270022240,Vintage Rope Pendant Lights~3169,32.98,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14992559145346,Modern Crystal 3 Head Pendant Light Indoor Entrance Dining Room ~6131,32.89,390,0,N/A (COGS pending),6,Low
pendant-lights,8009169993978,Modern Cylinder LED Pendant Light Adjustable Tube Fitting 5W ~4590,32.89,50,3,N/A (COGS pending),1,Low — flag for review
pendant-lights,6024707965089,Industrial E27 Pendant Light Fitting 2m Twisted Fabric Cable Metal Rose ~1735,32.73,390,8,N/A (COGS pending),6,Low
pendant-lights,8010485137658,3-Way Nordic Pendant Light | Triple Metal & Wood Cluster Ceiling Lamp~4721,32.3,170,9,N/A (COGS pending),6,Low
pendant-lights,5253203034273,Industrial Iron Pendant Light E27 Brushed Brass 95cm Multi Variant ~2204,30.78,390,0,N/A (COGS pending),6,Low
pendant-lights,7717938626810,Rustic Red Cage Pendant Light – Modern Retro Design with Round Base ~4036,30.38,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15260059763074,3 Light Crystal Glass Pendant Lamp ~6537,30.31,0,12,N/A (COGS pending),1,Low — flag for review
pendant-lights,15260849897858,E27 Steampunk Flush Mount Pipe Ceiling Light ~6547,29.82,140,0,N/A (COGS pending),6,Low
pendant-lights,4509718741088,Industrial Wall Mounted E27 Light Curvy Shade industrial wall light ~2542,29.78,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,6987652300961,"Rustic Red Pendant Light Steampunk Pipe Light Balloon Cage Lamp Hanging Indoor Light Fitting For Kitchen, Living room~1194",29.7,140,2,N/A (COGS pending),6,Low
pendant-lights,7502163738874,2-way Retro Industrial ceiling cable E27 Hanging lamp pendant light~3403,28.71,20,3,N/A (COGS pending),1,Low — flag for review
pendant-lights,14882799878530,"Industrial Vintage Pendant Light, E27 Metal Shade for Home & Cafe ~ 5662",27.98,10,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,7924177600762,Industrial Vintage Metal Pendant Light Shade Chandelier Navy Blue LampShade~4147,27.82,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,14883343040898,Vintage Hanging Shade Ceiling Pendant Light ~5668,26.86,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14960152248706,Vintage Industrial Metal Dome Pendant Light E27 Cord Fitting ~ 6030,25.79,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15326866997634,Industrial Black Pendant Light E27 Gold Inner Shade ~6789,25.16,20,4,N/A (COGS pending),1,Low — flag for review
pendant-lights,4570365329504,Ceiling Rose Fabric Flex Pendant Light Lamp Holder~2336,24.98,20,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,14961212096898,Industrial Brass Pendant Light E27 Vintage Edison Fitting ~6038,24.86,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15143562445186,Industrial Vintage Ceiling Hanging Lighting Kit~6386,24.19,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14984117387650,E27 2 Head Pendant Light Metal  ~6116,23.89,12100,1,N/A (COGS pending),3,High
pendant-lights,6886023889057,Vintage Industrial Metal Retro Ceiling Pendant Light Copper ~1297,23.42,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15212012110210,Easy Fit E27 Metal Chain Pendant Light Fixture Dimmable ~6786,23.3,320,0,N/A (COGS pending),6,Low
pendant-lights,5784602378401,Industrial Pendant Light Black Vintage Hanging Pendant Lights Retro Lamp Fixtures~1955,22.87,390,0,N/A (COGS pending),6,Low
pendant-lights,15147501781378,Retro Industrial Hanging LED Pendant Light ~6407,22.22,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,6022421610657,Chrome Pendant Light Fitting Ceiling Rose E27 Suspension~1746,21.78,480,0,N/A (COGS pending),6,Low
pendant-lights,7045912002721,"Modern Industrial French Gold Hanging Ceiling Pendant Light Metal Cone Shape Indoor Lighting For Bed Room, Kitchen, Living Room~1171",21.2,20,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,8620603638010,Adjustable Pendant Light Holder ~5516,20.22,260,2,N/A (COGS pending),6,Low
pendant-lights,15326861263234,Crystal Pendant Light French Gold E27 Hanging Lamp ~6788,20.16,390,2,N/A (COGS pending),6,Low
pendant-lights,7982675362042,"2Pack Rose Gold Pendant Light,E27 Lamp Holder Ceiling Hanging Light,PVC Cable~4229",19.89,1300,0,N/A (COGS pending),6,Low
pendant-lights,8060501229818,Vintage Metal Dome Hemp Pendant Light – Industrial E27 Ceiling Lamp~5043,19.65,0,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,5536371114145,Black Multi Outlet E27 Metal Vintage Hanging Ceiling Pendant Lights~2058,19.6,0,3,N/A (COGS pending),1,Low — flag for review
pendant-lights,5784602640545,Vintage Big Barn Pendant Light Industrial Brushed Silver E27~1952,18.64,260,1,N/A (COGS pending),6,Low
pendant-lights,15056915399042,40cm Metal Large Warehouse Pendant Light Dome Easy to Fit Large  ~6197,18.62,320,0,N/A (COGS pending),6,Low
pendant-lights,14882049458562,Industrial Black Large pendant light 40cm Metal ~5647,18.29,20,4,N/A (COGS pending),1,Low — flag for review
pendant-lights,7719883964666,E27 Pendant Lamp Holder - Hanging Chain Included ~4037,18.17,1000,2,N/A (COGS pending),6,Low
pendant-lights,15346048663938,4m Long Swag Plug-in Pendant E27 With Swich  ~6813,17.99,20,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,14993332044162,Retro Hammered Metal Shade E27 Ceiling Pendant Light~6132,17.29,0,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,8109485031674,3 Head Multi-Color Flex Pendant Light  ~5141,16.99,20,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,15096989450626,E27 Pulley Wheel Pendant Light Fitting ~6395,16.59,20,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,8012431884538,Hanging Pendant Holder With Hook~4909,15.69,90,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,4417278115936,3 Core Round Braided Army Green Fabric Lighting Cable 1M/5M/10M~3184,15.47,1300,1,N/A (COGS pending),6,Low
pendant-lights,14934433726850,Vintage Industrial Pendant Light Hanging Retro Lamp ~5935,14.65,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,7695392047354,Metal Cage Pendant lighting Fixture E27 Base ~3931,14.45,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,6685790896289,French Gold Pendant Lights Gold Ceiling Lights Metal Industrial Light Shade~1519,14.29,590,1,N/A (COGS pending),6,Low
pendant-lights,8010511909114,Double Head Hemp Rope Pendant Light 2m Vintage Nautical 2 Light Fitting ~4736,13.39,20,2,N/A (COGS pending),1,Low — flag for review
pendant-lights,4417277788256,1M/5M/10M 3 Core Vintage Round Braided Grey Fabric Lighting Decorative Cable~3040,12.28,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14950425100674,"Vintage Retro Pendant Light – E27 Socket, Indoor Lighting ~5966",11.39,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,4417268351072,1M/5M/10M Vintage Style 3 Core Brown Fabric Round Cable ~3034,11.16,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,14892889276802,Black Twin Pendant Light Kit with Ceiling Rose – Fabric Cable Hanging Lamp Holder E27 ~5692,10.89,2900,2,N/A (COGS pending),3,High
pendant-lights,4417267925088,1M/5M/10M 3 Core Black and White Fabric Lighting Cable  Round Braided ~3186,9.89,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,7640295833850,Modern Pendant Light Fabric Gold Yellow Wire Yellow brass Ceiling Rose E27 Suspension Light Lamp Holder~3682,9.8,12100,0,N/A (COGS pending),3,High
pendant-lights,4417295548512,Metal Industrial Wire Cage Pendant Light ~2832,8.69,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,7982654849274,"Brushed Copper Pendant Light,E27 Lamp Holder Ceiling Hanging Light,PVC Cable~4224",5.89,880,0,N/A (COGS pending),6,Low
pendant-lights,14928360767874,E27 Pendant Light Fitting - 1m Adjustable Vintage Cord ~5811,5.85,12100,0,N/A (COGS pending),3,High
pendant-lights,15355088896386,Industrial Dome Pendant Light with Adjustable Cable Drape ~6821,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,15325876486530,Green Metal E27 Pendant Light Easy Fit ~6783,0.0,320,0,N/A (COGS pending),6,Low
pendant-lights,15322553713026,Industrial Black Pendant Light E27 Metal Ceiling Lamp ~6777,0.0,20,3,N/A (COGS pending),1,Low — flag for review
pendant-lights,15312219242882,Industrial Curvy Black Pendant Light E27 Adjustable Cable ~6762,0.0,20,3,N/A (COGS pending),1,Low — flag for review
pendant-lights,15299417997698,Drop Ceiling Lights 4 Arm Hook Swag Light E27 ~6724,0.0,1000,1,N/A (COGS pending),6,Low
pendant-lights,15299416818050,4 Bulb Octopus Ceiling Light E27 2M Long ~6730,0.0,40,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15295497470338,3 Light Pendant Ceiling Light E27 Tea Brown Glass Vintage Lamp ~6720,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15280019800450,Vintage Industrial Black Cage Pendant Light | E27 Bulb Included ~6677,0.0,50,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15280014459266,Industrial Pendant Light | Matte Black Metal Dome Ceiling Shade ~6676,0.0,390,0,N/A (COGS pending),6,Low
pendant-lights,15279214625154,Tack Pendant Lamp Above Counter W50cm ~6614,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15274724262274,Industrial Metal Ceiling Light Wire Cage Adjustable Hanging Lamp ~6599,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15273126461826,Vintage Metal Pendant Light Fixture - Curvy Ceiling Lamp (Pack of 3) ~6616,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15270340952450,3 Light Pendant Light Height Adjustable Metal Ceiling Lights E27 ~6576,0.0,30,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15269981028738,Vintage Wire Cage Pendant Light | Adjustable E27 Lamp ~6587,0.0,20,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,15269520966018,White Crackle Glass Scalloped Pendant Light 27 ~6634,0.0,110,1,N/A (COGS pending),6,Low
pendant-lights,15267741106562,Plug in Swag Pendant Light with Metal Shade On/ Off Switch ~6568,0.0,70,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,15266961359234,Ledsone Industrial Cage Pendant Light - Adjustable Fabric Flex Lamp ~6567,0.0,20,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15266782314882,Black Semi Flush Mount Ceiling Light ~6566,0.0,3600,1,N/A (COGS pending),3,High
pendant-lights,15263711789442,Ceiling Pendant Lamp Holder B22  ~6555,0.0,10,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15260851962242,Cage Pendant Light E27 Hight Dimmable ~6544,0.0,170,0,N/A (COGS pending),6,Low
pendant-lights,15260831285634,Short ceiling pendant 3 light E27 ~6550,0.0,0,1,N/A (COGS pending),1,Low — flag for review
pendant-lights,15254724837762,2 set Pendant Light ~6533,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15233439236482,3 Cage Black E27 Pendant Light ~6526,0.0,0,0,N/A (COGS pending),1,Low — flag for review
pendant-lights,15230790140290,Over Head Shaded Hanging Lighting ~6525,0.0,210,0,N/A (COGS pending),6,Low
